Message Name,Field Def #,Field Name,Field Type,Array,Components,Scale,Offset,Units,Bits,Accumulate,Ref Field Name,Ref Field Value,Comment,Products:,EXAMPLE,Global Message Number,Source
,0,action,waypoint_action,,,,,,,,,,,,,,
golf_course,,,,,,,,,,,,,In score_card file,,,190,
,0,course_id,uint32,,,,,,,,,,,,,,
,1,name,string,,,,,,,,,,,,,,
,2,local_time,local_date_time,,,,,s,,,,,,,,,
,3,start_time,date_time,,,,,s,,,,,,,,,
,4,end_time,date_time,,,,,s,,,,,,,,,
,8,out,uint8,,,,,,,,,,,,,,
,9,in,uint8,,,,,,,,,,,,,,
,10,total,uint8,,,,,,,,,,,,,,
,11,tee,string,,,,,,,,,,,,,,
,12,slope,uint8,,,,,,,,,,,,,,
,21,rating,float_32,,,,,,,,,,,,,,
golf_stats,,,,,,,,,,,,,In score_card file,,,191,
,0,name,string,,,,,,,,,,,,,,
,2,out,uint8,,,,,,,,,,,,,,
,3,in,uint8,,,,,,,,,,,,,,
,4,total,uint8,,,,,,,,,,,,,,
,7,fairway_hit,uint8,,,,,,,,,,,,,,
,8,gir,uint8,,,,,,,,,,,,,,
,9,putts,uint8,,,,,,,,,,,,,,
score,,,,,,,,,,,,,In score_card file,,,192,
,1,hole_number,uint8,,,,,,,,,,,,,,
,2,score,uint8,,,,,,,,,,,,,,
,5,putts,sint8,,,,,,,,,,,,,,
,6,fairway,fairway,,,,,,,,,,,,,,
hole,,,,,,,,,,,,,In score_card file,,,193,
,0,hole_number,uint8,,,,,,,,,,,,,,
,1,distance,uint16,,,100,,m,,,,,,,,,
,2,par,uint8,,,,,,,,,,,,,,
,3,handicap,uint8,,,,,,,,,,,,,,
,4,position_lat,sint32,,,,,semicircles,,,,,,,,,
,5,position_long,sint32,,,,,semicircles,,,,,,,,,
shot,,,,,,,,,,,,,In score_card file,,,194,
,1,hole_number,uint8,,,,,,,,,,,,,,
,2,start_position_lat,sint32,,,,,semicircles,,,,,,,,,
,3,start_position_long,sint32,,,,,semicircles,,,,,,,,,
,4,end_position_lat,sint32,,,,,semicircles,,,,,,,,,
,5,end_position_long,sint32,,,,,semicircles,,,,,,,,,
,7,club_type,uint32,,,,,,,,,,,,,,
stress_level,,,,,,,,,,,,,Add to existing,,,,
,3,body_battery,uint8,,,,,,,,,,,,,,
alarm_settings,,,,,,,,,,,,,In settings,,,222,7
,0,time,uint16,,,,,min,,,,,,,,,
,1,repeat,alarm_repeat,,,,,,,,,,,,,,
,2,enabled,switch,,,,,,,,,,,,,,
,3,sound,sound_and_vibe,,,,,,,,,,,,,,
,4,backlight,switch,,,,,,,,,,,,,,
,5,time_created,date_time,,,,,s,,,,,,,,,
,8,label,alarm_label,,,,,,,,,,,,,,
,11,time_updated,date_time,,,,,s,,,,,,,,,
music_info,,,,,,,,,,,,,,,,243,4
,0,start_time,date_time,,,,,s,,,,,,,,,
,2,title,string,,,,,,,,,,,,,,
,3,artist,string,,,,,,,,,,,,,,
,4,genre,string,,,,,,,,,,,,,,
,5,duration,uint16,,,,,s,,,,,,,,,
sleep_data_info,,,,,,,,,,,,,,,,273,7
,1,sample_length,uint16,,,,,s,,,,,,,,,
,2,local_timestamp,local_date_time,,,,,s,,,,,,,,,
,4,version,string,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mtb_cx,,,,,,,,,,,,,In sport file,,,309,
,1,grit_flow_jump_recording,switch,,,,,,,,,,,,,,
,2,jump_alerts,switch,,,,,,,,,,,,,,
race,,,,,,,,,,,,,In pace_band file,,,310,
,3,goal_time,uint32,,,1000,,s,,,,,,,,,
,4,goal_speed,uint32,,,1000,,m/s,,,,,,,,,
,5,distance,uint32,,,100,,m,,,,,,,,,
,7,split_distance,uint32,,,100,,m,,,,,,,,,
split_time,,,,,,,,,,,,,In pace_band file,,,311,
,0,time,uint32,,,1000,,s,,,,,,,,,
,1,distance,uint32,,,100,,m,,,,,,,,,
,2,split_time,uint32,,,1000,,s,,,,,,,,,
,3,split_distance,uint32,,,100,,m,,,,,,,,,
,4,split_speeds,uint32,,,1000,,m/s,,,,,,,,,
,9,start_position_lat,sint32,,,,,semicircles,,,,,,,,,
,10,start_position_long,sint32,,,,,semicircles,,,,,,,,,
,11,end_position_lat,sint32,,,,,semicircles,,,,,,,,,
,12,end_position_long,sint32,,,,,semicircles,,,,,,,,,
,13,start_altitude,uint32,,,5,500,m,,,,,,,,,
,14,end_altitude,uint32,,,5,500,m,,,,,,,,,
split,,,,,,,,,,,,,,,,312,
,7,start_distance,uint32,,,100,,m,,,,,,,,,9
,11,sport,sport,,,,,,,,,,,,,,9
,12,sub_sport,sub_sport,,,,,,,,,,,,,,9
,15,avg_heart_rate,uint8,,,,,bpm,,,,,,,,,9
,16,max_heart_rate,uint8,,,,,bpm,,,,,,,,,9
,32,avg_temperature,sint8,,,,,C,,,,,,,,,
,33,max_temperature,sint8,,,,,C,,,,,,,,,
,34,min_temperature,sint8,,,,,C,,,,,,,,,
,35,avg_vertical_oscillation,uint16,,,10,,mm,,,,,,,,,
,37,avg_stance_time,uint16,,,10,,ms,,,,,,,,,
,36,avg_vertical_ratio,uint16,,,100,,percent,,,,,,,,,
,39,avg_step_length,uint16,,,10,,mm,,,,,,,,,
,38,avg_stance_time_balance,uint16,,,100,,percent,,,,,,,,,
,40,avg_power,uint16,,,,,watts,,,,,total_power / total_timer_time if non_zero_avg_power otherwise total_power / total_elapsed_time,,,,9
,41,max_power,uint16,,,,,watts,,,,,,,,,9
,42,normalized_power,uint16,,,,,watts,,,,,,,,,
,67,lap_index,,,,,,,,,,,,,,,9
,79,resting_calories,uint16,,,,,kcal,,,,,,,,,9
,93,grade_adjusted_speed,uint32,,,1000,,m/s,,,,,,,,,
,107,beginning_potential,uint8,,,,,,,,,,,,,,
,108,ending_potential,uint8,,,,,,,,,,,,,,
,109,min_stamina,uint8,,,,,,,,,,,,,,
,130,step_speed_loss_distance,uint16,,,100,,cm/s,,,,,,,,,3
,131,step_speed_loss_percentage,uint16,,,100,,%,,,,,,,,,3
split_summary,,,,,,,,,,,,,,,,313,
,253,timestamp,date_time,,,,,s,,,,,,,,,
,20,avg_vertical_oscillation,uint16,,,10,,mm,,,,,,,,,
,21,avg_vertical_ratio,uint16,,,100,,percent,,,,,,,,,
,22,avg_stance_time,uint16,,,10,,ms,,,,,,,,,
,24,avg_step_length,uint16,,,10,,mm,,,,,,,,,
,25,avg_power,uint16,,,,,watts,,,,,total_power / total_timer_time if non_zero_avg_power otherwise total_power / total_elapsed_time,,,,
,26,max_power,uint16,,,,,watts,,,,,,,,,
,27,normalized_power,uint16,,,,,watts,,,,,,,,,
,60,max_split_distance,uint32,,,100,,m,,,,,,,,,
,64,resting_calories,uint16,,,,,kcal,,,,,,,,,9
,79,first_start_time,date_time,,,,,s,,,,,,,,,9
,83,step_speed_loss_distance,uint16,,,100,,cm/s,,,,,,,,,3
,84,step_speed_loss_percentage,uint16,,,100,,%,,,,,,,,,3
power_mode,,,,,,,,,,,,,In sport file,,,321,
,0,low_battery_alert,uint32,,,,,s,,,,,,,,,
,1,default_mode,sint32,,,,,,,,,,,,,,
,3,auto_enable_time,uint32,,,,,s,,,,,,,,,
gps_event,,,,,,,,,,,,,In activity file,,,326,
,0,event_type,gps_type,,,,,,,,,,,,,,
,1,data,uint16,,,,,,,,,,,,,,
,,gps_mode,gps_mode,,,,,,,,event_type,mode_change,,,,,
,100,gps_1,switch,,,,,,,,,,,,,,
,101,glonass,switch,,,,,,,,,,,,,,
,102,unknown_1,uint8,,,,,,,,,,,,,,
,104,qzss_1,switch,,,,,,,,,,,,,,
,105,unknown_2,uint8,,,,,,,,,,,,,,
,106,galileo_1,switch,,,,,,,,,,,,,,
,107,beidou_1,switch,,,,,,,,,,,,,,
,108,auto_select,switch,,,,,,,,,,,,,,
,109,unknown_3,uint8,,,,,,,,,,,,,,
,110,gpsgalileobeidou_5,bits,,,,,,,,,,,,,,
,113,qzss_5,switch,,,,,,,,,,,,,,
functional_metrics,,,,,,,,,,,,,,,,356,7
,4,functional_threshold_power,uint16,,,,,watts,,,,,,,,,
